,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\F_4$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
110,5.550000000000001,90.72530179837824,-5.35551106840584,63.47063092179074,-1.9747411676187905,-0.7133005472119751,-2.2002387301537882,-2.6712162175850827,-31.832610791707978,21.67625564738997,-0.01142693642351318,0.15866332890516627,-0.22928784694522633,0.19030874222517014,0.19137509912252426,0.19011461734771729,0.19204866886138916,1.0,-0.38686643517038627,-5.030245587611292,-0.5861392449807087,62.788028579469575,0.0,0.0,0.0
111,5.6000000000000005,92.49571603774373,-5.680040518037508,64.16783280743422,-1.9728995649715941,-0.7269603792741282,-2.2039263764099806,-2.3502657706030474,-32.173677547849834,21.606624641574758,-0.00672737704653611,0.1579299899326035,-0.22810408975929036,0.18974239379167557,0.19084759801626205,0.18956952542066574,0.1914237141609192,1.0,-0.39517296608777497,-5.35551106840584,-0.5869438129759198,63.47063092179074,0.0,0.0,0.0
112,5.65,94.27255422510662,-6.003327227858364,64.879956757706,-1.9707426096312235,-0.7405462358297239,-2.2076779841844196,-2.0242787298333402,-32.5109460417589,21.53913821879477,-0.0024917132594307126,0.15723893471297387,-0.22693610396236197,0.18921006470918655,0.19034982472658157,0.18905650824308395,0.19083671271800995,1.0,-0.40261343940804906,-5.680040518037508,-0.5877949141362447,64.16783280743422,0.0,0.0,0.0
113,5.7,96.0558293098045,-6.324891852465881,65.60728793728185,-1.9682863449375132,-0.7540587701236015,-2.2115032162294836,-1.6933427016292615,-32.84441279874451,21.473916607479133,0.0013193022479041695,0.15658603836686444,-0.22578331734985127,0.18870951980352402,0.18987970054149628,0.18857328593730927,0.1902850717306137,1.0,-0.40927512815549116,-6.003327227858364,-0.5886906214633755,64.879956757706,0.0,0.0,0.0
114,5.75,97.84555957398997,-6.644281035404163,66.35007728927994,-1.9655447692862986,-0.7674985461427855,-2.2154114827022235,-1.3575449819894285,-33.17407130685859,21.409592138200548,0.0056911735642495645,0.14599150636184158,-0.22629924472421423,0.18657691776752472,0.18461363017559052,0.18446099013090134,0.18513445928692818,1.0,-0.41523634862456976,-6.324891852465881,-0.5896289725762639,65.60728793728185,0.0,0.0,0.0
115,5.800000000000001,99.64172527350657,-6.961009260873288,67.1085648887225,-1.9629574333638142,-0.7807505537902584,-2.2187279939082103,-1.016972564722642,-33.49991237426337,21.346928078966133,0.010442913255794462,0.1366097315030448,-0.22675683405250327,0.1839345619082451,0.18212085217237473,0.18207108601927757,0.18274082243442535,1.0,-0.4205585778787771,-6.644281035404163,-0.5906142406350958,66.35007728927994,0.0,0.0,0.0
116,5.8500000000000005,101.44458390842888,-7.274161412019625,67.88255502072785,-1.960474812288843,-0.7938382050870083,-2.2215135008106546,-0.6717523863661605,-33.821904419127286,21.28567625582525,0.015241939540410192,0.1268443196487394,-0.22738633062690514,0.1811550110578537,0.17907842248678207,0.1792256087064743,0.1797284558415413,1.0,-0.425217412084881,-6.961009260873288,-0.5915726555661033,67.1085648887225,0.0,0.0,0.0
117,5.9,103.25435924232028,-7.582834125288711,68.67190006923566,-1.9581387212389707,-0.806764529071228,-2.2237209127690707,-0.3220015889265887,-34.14001919505179,21.22577012532506,0.019951282737611393,0.11705922144997635,-0.22812070604413764,0.17826258391141891,0.17605671286582947,0.1763402223587036,0.17671015486121178,1.0,-0.42926101426692503,-7.274161412019625,-0.5925184369317331,67.88255502072785,0.0,0.0,0.0
118,5.95,105.07128973457661,-7.8861056464315995,69.47640908314423,-1.9559816779668746,-0.8195363950643295,-2.225326722705095,0.032165179546226,-34.454225751717786,21.167107270535464,0.024508412049703908,0.10717961551594696,-0.22896511461585778,0.17528852820396423,0.17294561862945557,0.17335812002420425,0.1735900081694126,0.9110007944632943,-0.43272701165334493,-7.582834125288711,-0.5934491298320651,68.67190006923566,0.0,0.0,0.0
119,6.0,106.89561823260681,-8.183061249001298,70.2958575218858,-1.9540443815562265,-0.832159358175566,-2.226300788252995,0.3906370346042266,-34.764490596631795,21.109588487807073,0.028896694418081813,0.09722900289630483,-0.22991194780915994,0.1722445785999298,0.16977790743112564,0.17031057178974152,0.1704101599752903,0.7339174102268871,-0.43565356658720356,-7.8861056464315995,-0.594363812090119,69.47640908314423,0.0,0.0,0.0
